Bag_Type,Date,Material_Style,Price,Currency
Constance 18,2/7/23,Sellier Faubourg Neige (Snow),30100,EUR
Constance 18,1/2/23,Epsom Sellier,8650,EUR
Constance 18,1/2/23,Togo,8050,EUR
Constance 18,1/10/23,Swift (in and out),11800,EUR
Constance 18,1/10/23,Lizard,15100,EUR
Constance 18,2/13/23,Togo ,10400,USD
Constance 18,2/24/23,Shiny Porosus Croc ,52100,USD
Constance 18,3/15/23,Swift ,10900,USD
Constance 18,3/21/23,Togo ,12400,CAD
Constance 18,3/23/23,Chevre ,10600,USD
Constance 18,3/24/23,Ostrich ,20200,USD
Constance 18,4/5/23,Swift,8400,EUR
Constance 18,4/15/23,Lisse Niloticus ,58800,CAD
Constance 18,4/15/23,Lisse Sellier Porossus ,61000,CAD
Constance 18,4/17/23,Tadelakt,18100,SGD
Constance 18,4/20/23,Ostrich,17800,EUR
Constance 18,4/29/23,Epsom Sellier ,11200,USD
Constance 18,5/1/23,Lizard ,23000,USD
Constance 18,5/5/23,Barenia Faubourg ,18455,AUD
Constance 18,5/6/23,Ostrich ,20200,USD
Constance 18,5/12/23,Barenia Picnic ,21900,USD
Constance 18,6/19/23,Veau Grizzly/Swift,9800,EUR
Constance 18,6/24/23,Cargo ,16000,USD
Constance 18,6/29/23,Togo,7850,GBP
Constance 18,6/30/23,Epsom Sellier ,13300,CAD
Constance 18,7/18/23,Epsom Sellier,8650,EUR
Constance 18,8/4/23,Togo ,10400,USD
Constance 18,8/8/23,Shadow,10100,EUR
Constance 18,8/23/23,Togo ,16510,AUD
Constance 18,8/30/23,Box Sellier,11900,EUR
Constance 18,9/28/23,Côte à Côte Tuffetage Swift,10800,EUR
Constance 18,11/4/23,Togo ,12400,CAD
Constance 18,11/4/23,Lisse Niloticus w/ Diamond HW,170000,EUR
Constance 18,11/11/23,Togo,15900,SGD
Constance 18,11/26/23,Box Sellier ,15400,USD
Constance 18,11/26/23,Matte Alligator Mississippiensis,34800,EUR
Constance 18,11/27/23,Ostrich,15600,EUR
Constance 18,12/10/23,Togo ,10400,USD
Constance 18,12/11/23,Swift Shadow ,13100,USD
Constance 18,1/2/23,Togo,8900,EUR
Constance 18,2/6/23,Epsom Sellier,9750,EUR
Constance 18,3/30/23,Matte Alligator Mississippiensis,40100,EUR
Constance 18,4/3/23,Togo ,11600,USD
Constance 18,4/4/23,Togo,1639000,JPY
Constance 18,4/7/23,Touch Matte Alligator,18200,EUR
Constance 18,4/20/23,Togo,8900,EUR
Constance 18,4/25/23,Vache Naturelle Grainee Sellier ,14800,USD
Constance 18,4/27/23,Matte Alligator ,53500,USD
Constance 18,6/17/23,Box Sellier ,17500,USD
Constance 18,6/29/23,Togo ,11600,USD
Constance 18,7/12/23,Box Retourne ,15700,USD
Constance 18,7/17/23,Epsom Retourne ,17200,SGD
Constance 18,8/19/23,Matte Alligator Mississippiensis SO,40100,EUR
Constance 18,8/30/23,Epsom,8750,EUR
Constance 18,8/31/23,Barenia Faubourg,9800,EUR
Constance 18,8/22/23,Togo,8900,EUR
Constance 18,8/22/23,Barenia Retourné,12100,EUR
Constance 18,9/9/23,Ostrich,18200,EUR
Constance 18,10/17/23,Chèvre,9300,EUR
Constance 18,1/2/23,Togo,9850,EUR
Constance 18,1/3/23,Togo,107000,USD
Constance 18,3/25/23,Barenia Faubourg ,13800,USD
Constance 18,12/15/23,Shiny Porosus Croc ,75000,USD
Constance 18,1/2/23,Chevre,7700,EUR
Constance 18,1/6/23,Epsom (no mirror) ,7950,USD
Constance 18,1/10/23,Epsom Mirror,13300,SGD
Constance 18,1/14/23,Epsom Mirror,6700,EUR
Constance 18,2/2/23,Epsom Mirror,9050,USD
Constance 18,2/12/23,Epsom Mirror ,8750,USD
Constance 18,2/13/23,Epsom Mirror ,8950,USD
Constance 18,2/17/23,Chevre Mirror ,10000,USD
Constance 18,3/2/23,Epsom Mirror ,8750,USD
Constance 18,4/4/23,Epsom,1166000,JPY
Constance 18,6/6/23,Box,9050,EUR
Constance 18,6/10/23,Lizard ,22000,USD
Constance 18,6/28/23,Matte Alligator Mirror,28200,EUR
Constance 18,7/4/23,Chevre Mirror,15300,SGD
Constance 18,7/7/23,Epsom Mirror,13300,SGD
Constance 18,7/28/23,Chamkila Chevre Mirror ,10000,USD
Constance 18,10/1/23,Epsom Mirror Enamel Buckle ,9600,USD
Constance 18,10/9/23,Lizard,17100,EUR
Constance 18,10/9/23,Box,9250,EUR
Constance 18,11/26/23,Epsom Mirror w/ Alligator and Lizard Buckle,7450,EUR
Constance 24,1/3/23,Constance 1-24 Matte Alligator with Alligator Buckle ,38300,USD
Constance 24,1/10/23,Porosus Crocodile Lisse with diamonds buckle,194500,EUR
Constance 24,2/20/23,Constance 1-24 Box  (before tax),13700,USD
Constance 24,5/9/23,Constance 1-24 Epsom,7600,EUR
Constance 24,7/26/23,Constance 1-24 Epsom ,9900,USD
Constance 24,7/26/23,Constance 1-24 Chèvre,8700,EUR
Constance 24,8/14/23,Constance 1-24 Box,113700,USD
Lindy 19,1/2/23,Clemence,5100,EUR
Lindy 19,1/18/23,Clemence ,6400,USD
Lindy 19,2/8/23,Clemence ,6650,USD
Lindy 19,2/9/23,Ostrich ,14100,USD
Lindy 19,2/16/23,Clemence ,10000,USD
Lindy 19,2/17/23,Swift ,7100,USD
Lindy 19,3/3/23,Clemence,258400,THB
Lindy 19,3/3/23,Clemence with Maxi Quadrille canvas shoulder strap,273600,THB
Lindy 19,3/4/23,Swift,276150,THB
Lindy 19,3/24/23,Clemence ,10305,AUD
Lindy 19,4/3/23,Clemence ,6650,USD
Lindy 19,4/4/23,Clemence,821700,JPY
Lindy 19,4/21/23,Clemence,258400,THB
Lindy 19,6/13/23,Clemence,7550,CAD
Lindy 19,6/18/23,Swift Verso,8050,CAD
Lindy 26,12/16/23,Evercolor ,8400,USD
Lindy 26,1/2/23,Clemence,6250,EUR
Lindy 26,1/16/23,Clemence ,6100,USD
Lindy 26,2/16/23,Clemence ,12300,SGD
Lindy 26,2/16/23,Swift Verso ,8500,USD
Lindy 26,2/16/23,Evercolor ,8400,USD
Lindy 26,2/20/23,Swift,329350,THB
Lindy 26,3/3/23,Clemence,316700,THB
Lindy 26,3/8/23,Clemence,8150,USD
Lindy 26,3/16/23,Evercolor ,8400,USD
Lindy 26,5/12/23,Clemence ,9250,CAD
Lindy 26,5/29/23,Swift Verso ,12800,SGD
Lindy 30,1/3/23,Clemence,13500,SGD
Evelyne 16,1/2/23,Clemence,1570,EUR
Evelyne 16,1/16/23,Maurice ,1570,USD
Evelyne 16,1/24/23,Barenia Faubourg,86400,THB
Evelyne 16,1/24/23,Clemence,77050,THB
Evelyne 16,2/13/23,Clemence ,2050,USD
Evelyne 16,2/22/23,Felt ,1775,USD
Evelyne 16,3/7/23,Maurice,17400,HKD
Evelyne 16,4/17/23,Felt/Swift ,2000,CAD
Evelyne 16,5/10/23,Maurice ,2375,CAD
Evelyne 16,5/13/23,Clemence,3300,SGD
Evelyne 16,5/26/23,Clemence ,2325,CAD
Evelyne 16,12/14/23,Clemence ,2050,USD
Evelyne 29,1/2/23,Clemence,2800,EUR
Evelyne 29,1/4/23,Clemence ,2730,USD
Evelyne 29,1/17/23,Clemence ,3475,USD
Evelyne 29,2/14/23,Maurice ,3725,USD
Evelyne 29,2/20/23,Clemence,137400,THB
Evelyne 29,2/22/23,Maxi Quadrille Strap ,3900,USD
Evelyne 29,2/22/23,Felt ,3450,USD
Evelyne 29,3/4/23,Barenia Faubourg ,3850,USD
Evelyne 29,3/16/23,Clemence ,3650,USD
Evelyne 29,4/15/23,Celemence ,4150,CAD
Evelyne 29,5/15/23,Clemence ,3650,USD
Evelyne 29,8/25/23,Clemence ,5500,SGD
Kelly 25,1/5/22,Epsom Sellier,8500,EUR
Kelly 25,1/14/22,Ostrich Sellier ,33990,AUD
Kelly 25,1/16/22,Box Sellier THB,519550,USD
Kelly 25,2/10/22,Chèvre Sellier ,11400,USD
Kelly 25,2/12/22,Epsom Sellier ,10600,USD
Kelly 25,2/13/22,Togo Retourne ,9900,USD
Kelly 25,2/14/22,Togo Retourne,8750,CHF
Kelly 25,2/15/22,Swift Retourne,9100,CHF
Kelly 25,2/16/22,Barenia Sellier,11500,CHF
Kelly 25,2/17/22,Togo Retourne,7400,EUR
Kelly 25,2/25/22,Madame Sellier ,17100,SGD
Kelly 25,3/1/22,Veau Butler Sellier ,12100,USD
Kelly 25,3/2/22,Box Sellier ,13500,USD
Kelly 25,3/20/22,Veau Madame verso ,8280,USD
Kelly 25,3/23/22,Tadelakt Sellier ,11900,USD
Kelly 25,3/21/22,Box Sellier,10100,EUR
Kelly 25,4/29/22,Barenia Faubourg,7950,EUR
Kelly 25,5/2/22,Swift ,16060,AUD
Kelly 25,5/24/22,Swift,7700,EUR
Kelly 25,5/24/22,Togo,7400,EUR
Kelly 25,5/28/22,Epsom ,10600,USD
Kelly 25,6/28/22,Swift ,10300,USD
Kelly 25,7/11/22,Epsom ,7740,USD
Kelly 25,1/7/22,Alligator Mississippiensis,29800,EUR
Kelly 25,7/1/22,Chevre Sellier ,8280,USD
Kelly 25,7/23/22,Togo Retourne ,10000,CAD
Kelly 25,8/28/22,Nilo Croc Sellier ,39100,USD
Kelly 25,10/14/22,Epsom Sellier,408950,THB
Kelly 25,10/16/22,Epsom Sellier ,11100,CAD
Kelly 25,12/27/22,Epsom Sellier  CNY,90150,USD
Kelly 28,1/3/22,Chevre Mysore ,11100,USD
Kelly 28,1/5/22,Epsom,8350,EUR
Kelly 28,1/8/22,Togo ,10300,USD
Kelly 28,1/28/22,Swift,8200,EUR
Kelly 28,2/28/22,Ostrich ,200500,HKD
Kelly 28,2/5/22,Epsom,9900,CHF
Kelly 28,3/20/22,Box ,13900,USD
Kelly 28,4/23/22,Barenia Faubourg ,11900,CAD
Kelly 28,4/29/22,Chevre Mysore ,11800,USD
Kelly 28,5/2/22,Togo ,10600,USD
Kelly 28,5/6/22,Togo,7950,EUR
Kelly 28,5/13/22,Epsom ,11200,USD
Kelly 28,5/27/22,Swift Toile,8350,EUR
Kelly 28,5/31/22,Togo ,10600,USD
Kelly 28,7/4/22,Epsom ,11400,CAD
Kelly 28,7/21/22,Chevre Mysore ,11900,USD
Kelly 28,9/3/22,Togo Retourne  SEK,87300,USD
Kelly 28,10/4/22,Togo Retourne,10900,CAD
Kelly 28,12/27/22,Epsom Sellier  CNY,95500,USD
Kelly 32,3/2/22,Epsom,9050,EUR
Kelly 32,6/18/22,Evercolor,93500,HKD
Kelly 32,9/6/22,Evercolor Retourne,8650,EUR
Kelly 35,9/5/22,Togo Retourne,9050,EUR
Kelly 35,1/6/22,Epsom ,12400,SGD
Kelly 35,1/6/22,Chèvre Chamkila ,8550,USD
Kelly 35,1/17/22,Shiny Croc ,26600,USD
Kelly 35,2/17/22,Casaque Epsom ,15000,SGD
Kelly 35,3/2/22,Epsom ,67800,HKD
Kelly 35,3/19/22,Shiny Mississippiensis Alligator ,28500,USD
Kelly 35,4/18/22,Epsom ,8250,USD
Kelly 35,5/24/22,Epsom,6150,EUR
Kelly 35,2022-29-06,Lizard,11400,EUR
Kelly 35,2022-29-08,Chèvres Mysore,6650,EUR
Kelly 35,2022-13-10,Chevre Mysore ,6480,USD
Kelly 35,2022-15-10,Epsom ,12400,SGD
Kelly 35,11/20/22,Casque Espom HKD,82000,USD
Kelly 35,12/1/22,Box,7550,EUR
Kelly 35,12/27/22,Box  CNY,96400,USD
Kelly 35,12/17/22,Shiny Alligator,22000,EUR
Kelly 35,12/31/22,Ombre,13200,EUR
Kelly 35,12/31/22,Matte Alligator,24200,EUR
Birkin 25,1/6/22,Himalayan ,61700,USD
Birkin 25,1/9/22,Epsom Sellier ,15800,SGD
Birkin 25,1/8/22,Chèvre Mysore ,7500,USD
Birkin 25,1/8/22,Togo ,7050,USD
Birkin 25,1/15/22,Togo ,9750,USD
Birkin 25,1/20/22,Touch Togo/Niloticus,14500,EUR
Birkin 25,1/21/22,Barenia Faubourg ,10800,USD
Birkin 25,1/31/22,Swift In and Out ,13900,USD
Birkin 25,2/1/22,Ostrich ,18800,USD
Birkin 25,2/10/22,Epsom Sellier ,87600,HKD
Birkin 25,2/12/22,Shadow ,12500,USD
Birkin 25,2/14/22,Epsom Sellier ,10900,USD
Birkin 25,2/19/22,Swift ,15300,SGD
Birkin 25,3/1/22,Novillo ,10400,USD
Birkin 25,2/20/22,Hima ,502500,HKD
Birkin 25,2/27/22,Epsom Sellier ,7750,USD
Birkin 25,3/5/22,Box Sellier ,21625,AUD
Birkin 25,3/15/22,Swift,7700,EUR
Birkin 25,3/15/22,Shadow swift,9100,EUR
Birkin 25,3/15/22,Matte gator,32600,EUR
Birkin 25,3/15/22,Cargo,25,USD
Birkin 25,3/19/22,Togo ,11000,USD
Birkin 25,4/23/22,Togo ,10100,USD
Birkin 25,4/25/22,Ostrich ,19600,USD
Birkin 25,5/5/22,Madame Sellier,447550,THB
Birkin 25,5/31/22,Matte Croc ,43500,USD
Birkin 25,6/3/22,Togo ,11100,CAD
Birkin 25,6/18/22,Togo ,7400,USD
Birkin 25,6/26/22,Epsom Sellier,408950,THB
Birkin 25,7/3/22,Picnic HKD,165300,USD
Birkin 25,7/9/22,Matte gator ,43400,USD
Birkin 25,7/25/22,Ostrich,14300,EUR
Birkin 25,8/1/22,Matte Croc Porosus,49300,USD
Birkin 25,8/20/22,Epsom Sellier ,12600,CAD
Birkin 25,8/21/22,Togo ,14700,SGD
Birkin 25,10/19/22,Swift  ( after tax),11500,CAD
Birkin 25,9/5/22,shiny croco lisse,33.1,EUR
Birkin 25,12/17/22,Epsom Sellier  EUR,7950,USD
Birkin 25,12/27/22,Togo  CNY,83900,USD
Birkin 30,1/5/22,Togo,8150,EUR
Birkin 30,1/9/22,Epsom Sellier ,12300,USD
Birkin 30,1/22/22,Chèvre Mysore ,11500,USD
Birkin 30,1/6/22,Chèvre Mysore CHF,10100,USD
Birkin 30,2/1/22,Epsom Retourne ,12300,USD
Birkin 30,2/5/22,Togo Retourne ,11000,USD
Birkin 30,3/15/22,Matte gator,37520,EUR
Birkin 30,4/2/22,Chèvre ,14100,USD
Birkin 30,4/9/22,Togo ,12700,CAD
Birkin 30,4/17/22,Touch Ostrich/Polished Alligator ,26500,USD
Birkin 30,4/19/22,Swift,8450,EUR
Birkin 30,4/20/22,Togo ,11200,USD
Birkin 30,4/29/22,Sellier Tool,12900,EUR
Birkin 30,5/2/22,Epsom Retourne,8050,EUR
Birkin 30,5/2/22,Epsom Retourne ,11000,USD
Birkin 30,5/7/22,Chevre Mysore Retourne ,11700,USD
Birkin 30,6/22/22,Box,10400,EUR
Birkin 30,7/6/22,Ostrich SGD,33300,USD
Birkin 30,8/1/22,Touch Matt Alligator/Togo,19750,CHF
Birkin 30,8/14/22,Togo ,7940,USD
Birkin 30,12/27/22,Togo  CNY,92750,USD
Birkin 35,3/15/22,Cargo,35,USD
Birkin 35,4/18/22,Togo ,12400,USD
Birkin 35,8/20/22,Barenia Faubourg,10000,EUR
Birkin 35,9/14/22,Clemence ,9050,USD
Birkin 35,12/6/22,Fray Fray ,10900,USD
Constance 18,1/12/22,Chèvre,6750,EUR
Constance 18,1/14/22,Matte Croc with Ombre Lizard Buckle,24000,EUR
Constance 18,1/14/22,Epsom ,7700,USD
Constance 18,1/11/22,Epsom THB,294600,USD
Constance 18,1/26/22,Epsom,5850,EUR
Constance 18,3/10/22,Epsom ,7950,USD
Constance 18,4/1/22,Epsom Laque ,70500,HKD
Constance 18,4/3/22,Chèvre ,9200,USD
Constance 18,4/3/22,Epsom,296400,THB
Constance 18,6/9/22,Evercolor ,12400,SGD
Constance 18,6/11/22,Polished Lizard ,19400,USD
Constance 18,7/1/22,Epsom,296400,THB
Constance 18,7/3/22,Epsom ,8950,CAD
Constance 18,7/8/22,Matte Gator ,30600,USD
Constance 18,7/10/22,Box ,15000,SGD
Constance 18,7/22/22,Evercolor,6200,EUR
Constance 18,8/12/22,Shiny Alligator ,30600,USD
Constance 18,2022-29-08,Ostrich,12300,EUR
Constance 18,2022-29-08,Shiny Alligator,22800,EUR
Constance 18,9/3/22,Box,7500,EUR
Constance 18,12/12/22,Epsom Reissue Mirror,6650,EUR
Constance 18,12/12/22,Epsom Reissue Mirror,9050,USD
Constance 18,12/27/22,CNY,68900,USD
Constance 24,1/11/22,Epsom,7500,EUR
Constance 24,2/23/22,Swift/Marble Silk ,19300,USD
Constance 24,2/28/22,Epsom ,10200,USD
Constance 24,4/9/22,Madame with Lizard Buckle ,12400,USD
Constance 24,1/7/22,Swift ,10300,AUD
Constance 24,1/7/22,Clemence ,9685,AUD
Constance 24,2/14/22,Clemence ,9400,SGD
Constance 24,2/24/22,Ostrich ,12800,USD
Constance 24,3/3/22,Clemence ,6400,USD
Constance 24,5/2/22,Clemence,4700,EUR
Constance 24,5/18/22,Clemence (Maxi Quadrille strap),4950,EUR
Constance 24,5/18/22,Swift,5000,EUR
Constance 24,6/5/22,Clemence ,7050,CAD
Constance 24,6/9/22,Clemence ,6400,USD
Constance 24,7/12/22,Swift ,6800,USD
Constance 24,9/13/22,Swift Touch (matte Mississippiensis alligator) ,11200,CAD
Constance 24,6/15/22,swift touch matte alligator,6900,EUR
Constance 24,2/11/22,Clemence ,4580,USD
Constance 24,12/27/22,Clemence  CNY,53150,USD
Constance 24,1/21/22,Clemence,291350,THB
Constance 24,1/21/22,Clemence  CNY,59600,USD
Constance 24,1/24/22,Swift Verso ,7900,USD
Constance 24,1/28/22,Clemence ,11845,AUD
Constance 24,4/1/22,Clemence ,7800,USD
Constance 24,4/19/22,Clemence,5750,EUR
Constance 24,5/13/22,Clemence,5750,EUR
Constance 24,6/14/22,Verso Veau Swift ,12260,AUD
Constance 24,6/17/22,Clemence SGD,11500,USD
Constance 24,12/27/22,Clemence  CNY,65600,USD
Lindy 30,1/14/22,Swift ,8650,USD
Lindy 30,1/21/22,Clemence ,6140,USD
Lindy 30,4/24/22,Clemence ,9450,CAD
Lindy 30,1/3/22,Maurice ,1875,USD
Lindy 30,1/12/22,Clemence,1400,EUR
Lindy 30,1/18/22,Clemence ,15400,HKD
Lindy 30,1/20/22,Clemence Maxi Quadrille Strap ,2075,CAD
Lindy 30,1/24/22,Felt/Swift ,1170,USD
Lindy 30,1/28/22,Clemence ,1800,USD
Lindy 30,1/28/22,Clemence Flipperball Strap ,1875,USD
Lindy 30,2/14/22,Clemence Flipperball Strap ,2050,USD
Lindy 30,3/17/22,Clemence Maxi Quadrille Strap ,1975,USD
Lindy 30,3/25/22,Clemence  CNY,14550,USD
Lindy 30,4/29/22,Clemence ,1900,USD
Lindy 30,5/10/22,Maurice ,2150,CAD
Lindy 30,5/10/22,Clemence ,2075,CAD
Lindy 30,5/24/22,Clemence Maxi Quadrille Strap,1450,EUR
Lindy 30,6/7/22,Clemence,1400,EUR
Lindy 30,6/12/22,Clemence ,1900,USD
Lindy 30,6/16/22,Clemence ,1900,USD
Lindy 30,6/25/22,Clemence ,1900,USD
Lindy 30,9/5/22,Clemence,1400,EUR
Lindy 30,12/27/22,Clemence  CNY,16400,USD
Lindy 30,1/4/22,Clemence ,3375,USD
Lindy 30,1/5/22,Clemence,2550,EUR
Lindy 30,1/21/22,Clemence Flipperball strap ,2680,USD
Lindy 30,1/25/22,Clemence ,3900,CAD
Lindy 30,2/9/22,Clemence ,3475,USD
Lindy 30,2/9/22,Maurice ,3525,USD
Lindy 30,2/15/22,Barenia Faubourg ,3875,USD
Lindy 30,2/16/22,Felt/Swift,2340,EUR
Lindy 30,3/16/22,Clemence Maxi Quadrille Strap ,3750,USD
Lindy 30,5/27/22,Maurice,2600,EUR
Lindy 30,6/8/22,Maurice ,3525,USD
Lindy 30,8/25/22,Clemence  (duty free),2295,EUR
Lindy 30,6/17/22,Clemence ,2780,USD
Lindy 30,1/21/22,Twill H canvas & Clemence ,2630,USD
Evelyne 16,1/3/22,Maurice ,1875,USD
Evelyne 16,1/12/22,Clemence,1400,EUR
Evelyne 16,1/18/22,Clemence ,15400,HKD
Evelyne 16,1/20/22,Clemence Maxi Quadrille Strap ,2075,CAD
Evelyne 16,1/24/22,Felt/Swift ,1170,USD
Evelyne 16,1/28/22,Clemence ,1800,USD
Evelyne 16,1/28/22,Clemence Flipperball Strap ,1875,USD
Evelyne 16,2/14/22,Clemence Flipperball Strap ,2050,USD
Evelyne 16,3/17/22,Clemence Maxi Quadrille Strap ,1975,USD
Evelyne 16,3/25/22,Clemence,14550,CNY
Evelyne 16,4/29/22,Clemence ,1900,USD
Evelyne 16,5/10/22,Maurice ,2150,CAD
Evelyne 16,5/10/22,Clemence ,2075,CAD
Evelyne 16,5/24/22,Clemence Maxi Quadrille Strap,1450,EUR
Evelyne 16,6/7/22,Clemence,1400,EUR
Evelyne 16,6/12/22,Clemence ,1900,USD
Evelyne 16,6/16/22,Clemence ,1900,USD
Evelyne 16,6/25/22,Clemence ,1900,USD
Evelyne 16,9/5/22,Clemence,1400,EUR
Evelyne 16,12/27/22,Clemence,16400,CNY
Evelyne 29,1/4/22,Clemence ,3375,USD
Evelyne 29,1/5/22,Clemence,2550,EUR
Evelyne 29,1/21/22,Clemence Flipperball strap ,2680,USD
Evelyne 29,1/25/22,Clemence ,3900,CAD
Evelyne 29,2/9/22,Clemence ,3475,USD
Evelyne 29,2/9/22,Maurice ,3525,USD
Evelyne 29,2/15/22,Barenia Faubourg ,3875,USD
Evelyne 29,2/16/22,Felt/Swift,2340,EUR
Evelyne 29,3/16/22,Clemence Maxi Quadrille Strap ,3750,USD
Evelyne 29,5/27/22,Maurice,2600,EUR
Evelyne 29,6/8/22,Maurice ,3525,USD
Evelyne 29,8/25/22,Clemence,2295,EUR
Evelyne 33,6/17/22,Clemence ,2780,USD
Evelyne 33,1/21/22,Twill H canvas & Clemence ,2630,USD
Kelly 28,1/6/21,Alligator Sellier,30700,EUR
Kelly 28,1/9/21,Evercolor Retourné ,10300,USD
Kelly 28,1/16/21,Epsom Sellier ,15600,SGD
Kelly 28,1/20/21,Epsom Sellier ,10700,USD
Kelly 28,4/5/21,Epsom Sellier,7860,EUR
Kelly 28,2/4/21,Alligator Sellier Lisse/Matte,39000,EUR
Kelly 28,3/21/21,Togo Retourné ,10300,USD
Kelly 28,3/28/21,Epsom Sellier ,86000,HKD
Kelly 28,3/29/21,Touch Retourné ,16400,CAD
Kelly 28,5/29/21,Evercolor Retourné ,10300,USD
Kelly 28,5/29/21,Evercolor Retourné Verso ,83300,HKD
Kelly 28,6/3/21,Togo Retourné ,83300,HKD
Kelly 28,7/3/21,Toile Sellier ,88200,HKD
Kelly 28,8/10/21,Chèvre Sellier,8250,EUR
Kelly 28,8/31/21,Quadrille (canvas/Swift) Sellier ,10600,USD
Kelly 28,9/2/21,Togo Retourné,7600,EUR
Kelly 28,9/17/21,Togo Retourné Touch Handle Only ,13900,USD
Kelly 28,10/3/21,Epsom Sellier ,86000,HKD
Kelly 28,10/22/21,Box ,106800,HKD
Kelly 28,10/25/21,Ostrich Sellier ,24400,USD
Kelly 28,11/21/21,Himalayan Croc ,52600,CAD
Kelly 28,12/30/21,Tadelakt Retourné ,8100,USD
Kelly 32,1/4/21,Barenia Faubourg ,18100,SGD
Kelly 32,7/12/21,Togo Retourne ,8230,USD
Kelly 32,8/12/21,Togo Retourne,8200,EUR
Kelly 35,8/24/21,Epsom Sellier,9350,EUR
Kelly 35,3/20/21,Epsom Casaque  NTD,315800,USD
Kelly 35,5/1/21,Chèvre Chamkila ,8550,USD
Kelly 35,5/1/21,Epsom ,12410,AUD
Kelly 35,5/10/21,Epsom ,5920,USD
Kelly 35,7/1/21,Nilo,21,EUR
Kelly 35,7/16/21,Epsom ,7950,USD
Kelly 35,7/26/21,Matte Alligator ,230100,HKD
Kelly 35,8/12/21,Epsom,5900,EUR
Kelly 35,10/21/21,Chevre Mysore ,8550,USD
Kelly 35,11/5/21,Chèvre Mysore,6350,EUR
Kelly 35,11/13/21,Epsom tricolor ,10300,CAD
Kelly 35,11/15/21,Epsom ,64600,HKD
Kelly 35,12/4/21,Epsom ,8550,CAD
Kelly 35,6/6/21,Picnic,11400,EUR
Kelly 35,6/14/21,Picnic ,13800,USD
Birkin 25,1/3/21,Togo ,76600,HKD
Birkin 25,1/6/21,Touch (Togo/Croc),13700,EUR
Birkin 25,1/6/21,Touch (Togo/Croc) ,19100,USD
Birkin 25,1/9/21,Togo ,9650,USD
Birkin 25,2/6/21,Togo ,13900,SGD
Birkin 25,2/16/21,Barenia Faubourg ,11000,USD
Birkin 25,3/6/21,Togo ,9750,USD
Birkin 25,3/7/21,(Shadow) Swift,8600,EUR
Birkin 25,3/20/21,Ostrich,13500,EUR
Birkin 25,3/27/21,Veau Madame Sellier CHF,10050,USD
Birkin 25,4/22/21,Veau Jonathan ,9800,USD
Birkin 25,4/30/21,Chèvre ,10300,USD
Birkin 25,5/9/21,Swift,7250,EUR
Birkin 25,5/10/21,Epsom Sellier JPY,1160000,USD
Birkin 25,5/10/21,Togo JPY,1160000,USD
Birkin 25,6/6/21,Togo ,11100,CAD
Birkin 25,5/28/21,Touch Togo/alligator ,22100,CAD
Birkin 25,6/11/21,Shadow ,11900,USD
Birkin 25,6/21/21,Swift ,10100,USD
Birkin 25,7/12/21,Touch Togo/Niloticus ,21370,USD
Birkin 25,7/26/21,Epsom Sellier,7750,EUR
Birkin 25,9/16/21,Epsom Sellier ,10800,USD
Birkin 25,9/25/21,Togo,7000,EUR
Birkin 25,10/30/21,Swift Retourne palladium ,11500,CAD
Birkin 25,11/15/21,Epsom Sellier ,84900,HKD
Birkin 25,11/19/21,cargo ,14600,USD
Birkin 25,12/5/21,Epsom Sellier,7750,EUR
Birkin 30,1/6/21,Togo,7900,EUR
Birkin 30,3/8/21,Togo ,11000,USD
Birkin 30,1/7/21,Porosus Croc ,55700,USD
Birkin 30,2/19/21,Togo JPY,1320000,USD
Birkin 30,2/23/21,Madame Sellier ,9690,GBP
Birkin 30,2/25/21,Barenia Faubourg,8850,EUR
Birkin 30,3/4/21,Veau Madame Sellier ,13400,USD
Birkin 30,3/6/21,Epsom ,10800,USD
Birkin 30,3/15/21,Box ,14000,USD
Birkin 30,4/1/21,Barenia Faubourg ,12300,USD
Birkin 30,4/6/21,Chèvre ,11500,USD
Birkin 30,4/12/21,Box Calf,10.1,EUR
Birkin 30,5/14/21,Togo  SEK (Swedish Crowns),89800,USD
Birkin 30,5/24/21,Togo ,15700,SGD
Birkin 30,6/5/21,Togo ,86600,HKD
Birkin 30,6/2/21,Epsom,7800,EUR
Birkin 30,7/1/21,Chevre Coromandel,10000,EUR
Birkin 30,7/11/21,Touch Niloticus Croc/Togo ,22500,USD
Birkin 30,7/1/21,Epsom Seller ,12300,USD
Birkin 30,7/5/21,Ostrich,16200,EUR
Birkin 30,7/25/21,Epsom Seller ,105300,HKD
Birkin 30,8/1/21,Clemence ,11000,USD
Birkin 30,9/20/21,Togo ,7940,USD
Birkin 30,11/15/21,Epsom ,85500,HKD
Birkin 30,12/11/21,Epsom Sellier ,8.85,USD
Birkin 35,1/6/21,Togo,8850,EUR
Birkin 35,1/23/21,Togo ,12200,USD
Birkin 35,1/26/21,Epsom ,117200,HKD
Birkin 35,2/27/21,Togo ,12300,USD
Birkin 35,7/26/21,Shadow ,117200,HKD
Birkin 35,11/19/21,Clemence ,8890,GBP
Birkin 35,4/20/21,- ,10960,USD
Birkin 35,1/23/21,Epsom ,11300,SGD
Birkin 35,2/4/21,Ostrich ,124700,HKD
Birkin 35,2/14/21,Ostrich ,15500,USD
Birkin 35,3/14/21,Epsom ,7700,USD
Birkin 35,3/28/21,Epsom  SEK (Swedish Crowns),69.9,USD
Birkin 35,4/17/21,Butler ,8550,USD
